mcsteps,1,2,3,4,5,6,7,8,9,10,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,2958.0,1065.0,984.0,109.0,30.0,0.0,108.0,0.0,0.0,29.0,9.068486e-10,0.0,0.0,0.0,0.0,0.0,2.107207e-10,0.0,0.0,0.0,0.0,0.0
10000,2958.0,977.0,831.0,109.0,57.0,0.0,208.0,12.0,1.0,29.0,1.2457053e-09,1.2837937e-12,0.0,0.0,2.3135085e-12,0.0,3.7404588e-10,5.38306e-11,0.0,0.0,9.7588555e-11,0.0
20000,2958.0,893.0,687.0,109.0,82.0,0.0,282.0,26.0,14.0,29.0,1.4749935e-09,2.9761265e-12,2.504123e-25,0.0,5.34714e-12,1.9370363e-21,4.6326637e-10,8.181212e-11,0.0,0.0,1.4830764e-10,1.3605000000000001e-19
30000,2958.0,816.0,593.0,109.0,96.0,0.0,296.0,39.0,33.0,29.0,1.6594501e-09,5.6729487e-12,5.150992e-12,1.0602526e-12,1.2284214e-11,1.0992276e-12,5.3366556e-10,1.1173247e-10,1.3272598e-10,2.7564524e-11,2.1293237e-10,5.7307353e-11
40000,2958.0,741.0,502.0,109.0,117.0,0.0,314.0,36.0,44.0,29.0,1.8299239e-09,1.3142325e-11,5.184647e-12,1.0584279e-12,2.5112561e-11,3.2936692e-12,5.85967e-10,1.7088582e-10,1.3016431e-10,2.738981e-11,3.1266248e-10,9.908637e-11
50000,2958.0,667.0,432.0,109.0,137.0,0.0,324.0,30.0,41.0,29.0,1.9862965e-09,1.4873491e-11,5.234583e-12,1.0603003e-12,2.7359571e-11,4.456268e-12,6.3751315e-10,1.7911492e-10,1.3255219e-10,2.7510084e-11,3.26865e-10,1.1439245e-10
60000,2958.0,594.0,346.0,109.0,155.0,0.0,339.0,39.0,36.0,29.0,2.1402446e-09,1.9278482e-11,4.6202677e-12,9.295373e-13,3.4668907e-11,8.3452256e-12,6.7339323e-10,2.0507035e-10,1.2400866e-10,2.572519e-11,3.78358e-10,1.5647066e-10
70000,2958.0,529.0,276.0,109.0,156.0,0.0,328.0,55.0,83.0,29.0,2.2858069e-09,2.1545616e-11,6.1566733e-12,1.2098069e-12,3.7459813e-11,5.0922122e-12,7.146111e-10,2.10907e-10,1.4090461e-10,2.9180533e-11,3.8314196e-10,1.1777013e-10
80000,2958.0,462.0,231.0,109.0,167.0,1.0,323.0,31.0,113.0,29.0,2.4263385e-09,2.72217e-11,6.5124434e-12,1.3240008e-12,4.6733287e-11,1.2285368e-11,7.5082673e-10,2.3538138e-10,1.4359287e-10,3.0412475e-11,4.2838721e-10,1.8615992e-10
90000,2958.0,410.0,188.0,109.0,164.0,1.0,316.0,27.0,102.0,29.0,2.574931e-09,2.8525293e-11,8.962905e-12,1.846651e-12,5.0036024e-11,1.470405e-11,7.716459e-10,2.3913868e-10,1.7033965e-10,3.5942863e-11,4.4051265e-10,2.0314639e-10
100000,2957.0,400.0,247.0,119.0,166.0,1.0,314.0,34.0,72.0,32.0,2.7173335e-09,2.7938242e-11,4.722502e-12,9.357865e-13,4.7192056e-11,1.661158e-11,7.951158e-10,2.314065e-10,1.171978e-10,2.5118662e-11,4.3177914e-10,2.1497334e-10
110000,2957.0,373.0,202.0,119.0,159.0,1.0,306.0,38.0,75.0,32.0,2.8416165e-09,2.849387e-11,7.014626e-12,1.3587176e-12,4.7822316e-11,1.31236645e-11,8.362498e-10,2.3090266e-10,1.48935e-10,3.0848952e-11,4.3196946e-10,1.8656357e-10
120000,2957.0,341.0,164.0,119.0,157.0,1.0,292.0,33.0,125.0,32.0,2.9834881e-09,3.2979196e-11,5.9782305e-12,1.1098995e-12,5.520673e-11,1.1680717e-11,8.500692e-10,2.515826e-10,1.3380166e-10,2.7649289e-11,4.790073e-10,1.7285005e-10
130000,2957.0,316.0,128.0,119.0,155.0,2.0,283.0,31.0,129.0,32.0,3.1208591e-09,3.491865e-11,1.0360309e-11,2.0395749e-12,5.919923e-11,1.8982614e-11,8.7009844e-10,2.5597255e-10,1.8273924e-10,3.7886392e-11,4.7800863e-10,2.2710216e-10
140000,2957.0,284.0,100.0,118.0,142.0,3.0,263.0,35.0,131.0,33.0,3.2437775e-09,3.5411733e-11,8.736807e-12,1.6615289e-12,6.059489e-11,2.6829362e-11,9.037227e-10,2.5382083e-10,1.6442991e-10,3.3902662e-11,4.858911e-10,2.6636926e-10
150000,2957.0,243.0,81.0,118.0,140.0,3.0,250.0,17.0,127.0,33.0,3.3733905e-09,3.8891897e-11,8.778925e-12,1.6620196e-12,6.391113e-11,2.3415096e-11,9.205022e-10,2.651234e-10,1.6375451e-10,3.390214e-11,5.037308e-10,2.4295185e-10
160000,2957.0,220.0,62.0,118.0,130.0,2.0,214.0,41.0,110.0,33.0,3.506882e-09,3.9001323e-11,7.146525e-12,1.3741508e-12,6.235784e-11,3.1684898e-11,9.373682e-10,2.644241e-10,1.41059e-10,3.023484e-11,5.096901e-10,2.8288774e-10
170000,2957.0,193.0,50.0,118.0,123.0,3.0,191.0,25.0,157.0,33.0,3.6499508e-09,3.5429923e-11,8.285197e-12,1.5640194e-12,5.604529e-11,2.898918e-11,9.437521e-10,2.4281796e-10,1.5596013e-10,3.2657065e-11,4.637098e-10,2.6523767e-10
180000,2957.0,161.0,39.0,118.0,111.0,3.0,169.0,24.0,148.0,33.0,3.774201e-09,3.2458754e-11,4.408759e-12,7.4603843e-13,4.656859e-11,3.6270837e-11,9.680587e-10,2.2353328e-10,1.0055444e-10,2.1641973e-11,4.2508919e-10,3.0005265e-10
190000,2957.0,140.0,31.0,117.0,92.0,1.0,153.0,17.0,132.0,34.0,3.9042676e-09,3.2138563e-11,8.639912e-12,1.6816156e-12,4.5998472e-11,3.2669492e-11,9.780101e-10,2.1857571e-10,1.5502073e-10,3.344204e-11,4.160442e-10,2.7520738e-10
200000,2957.0,136.0,111.0,127.0,90.0,1.0,141.0,26.0,132.0,37.0,4.0343977e-09,2.976507e-11,8.4263785e-12,1.6359299e-12,4.215014e-11,2.9043167e-11,9.89431e-10,2.0218043e-10,1.5292446e-10,3.275289e-11,4.0331494e-10,2.5130645e-10
210000,2957.0,121.0,93.0,127.0,89.0,1.0,131.0,17.0,122.0,37.0,4.1577284e-09,2.5822658e-11,9.094308e-12,1.7132429e-12,3.3030856e-11,3.0291162e-11,1.0121533e-09,1.7943969e-10,1.6019089e-10,3.3830504e-11,3.70988e-10,2.5447489e-10
220000,2957.0,115.0,69.0,127.0,87.0,1.0,119.0,23.0,148.0,37.0,4.2790913e-09,2.8574526e-11,4.1210013e-12,6.2738297e-13,3.60522e-11,3.492744e-11,1.0251202e-09,1.8693956e-10,8.6123664e-11,1.8817649e-11,3.6793035e-10,2.7513122e-10
230000,2957.0,95.0,56.0,127.0,91.0,1.0,112.0,16.0,141.0,37.0,4.405114e-09,3.0704637e-11,8.183515e-12,1.5420719e-12,4.000842e-11,4.4311194e-11,1.0328428e-09,1.96281e-10,1.4519878e-10,3.1261674e-11,3.8342857e-10,3.2073721e-10
240000,2957.0,86.0,43.0,127.0,91.0,1.0,101.0,18.0,131.0,37.0,4.523899e-09,3.244012e-11,6.4115527e-12,1.0903235e-12,4.0297553e-11,4.83009e-11,1.0532591e-09,2.0118551e-10,1.1957095e-10,2.5407568e-11,3.874043e-10,3.3222122e-10
250000,2957.0,77.0,34.0,126.0,86.0,1.0,90.0,13.0,133.0,38.0,4.643558e-09,2.9720438e-11,5.512779e-12,9.154612e-13,3.61056e-11,4.4516963e-11,1.0741578e-09,1.8259436e-10,1.0926913e-10,2.3338064e-11,3.7059808e-10,3.127966e-10
260000,2957.0,68.0,26.0,126.0,77.0,2.0,77.0,14.0,114.0,38.0,4.763676e-09,3.0300994e-11,4.94752e-12,9.390214e-13,3.8608894e-11,4.5856673e-11,1.0906788e-09,1.8306155e-10,8.780017e-11,2.1593923e-11,3.759027e-10,3.1461686e-10
270000,2957.0,57.0,20.0,125.0,76.0,2.0,69.0,6.0,133.0,39.0,4.8959765e-09,2.727312e-11,5.1228934e-12,8.1086884e-13,3.146423e-11,4.178169e-11,1.0891184e-09,1.6057722e-10,9.8470385e-11,2.1076698e-11,3.4357986e-10,2.909226e-10
280000,2957.0,49.0,15.0,125.0,66.0,2.0,63.0,6.0,116.0,39.0,4.998463e-09,2.8051504e-11,6.5824395e-12,1.0968082e-12,3.2589674e-11,4.61797e-11,1.1265369e-09,1.6241641e-10,1.1948571e-10,2.5312112e-11,3.381871e-10,3.0507352e-10
290000,2957.0,40.0,11.0,124.0,58.0,1.0,47.0,12.0,104.0,40.0,5.131478e-09,2.7849462e-11,4.5869025e-12,6.822249e-13,3.0773387e-11,4.0597536e-11,1.1184552e-09,1.5847497e-10,8.592482e-11,1.8469733e-11,3.2883946e-10,2.718172e-10
300000,2957.0,46.0,93.0,133.0,45.0,1.0,52.0,10.0,99.0,43.0,5.243641e-09,2.6506661e-11,5.363719e-12,8.7412174e-13,2.8731203e-11,3.988057e-11,1.1331676e-09,1.4764101e-10,9.843245e-11,2.1426099e-11,3.1272593e-10,2.6583147e-10
310000,2957.0,43.0,66.0,133.0,43.0,1.0,71.0,2.0,112.0,43.0,5.353621e-09,2.6427568e-11,4.724599e-12,7.4704273e-13,2.6679079e-11,3.937237e-11,1.1609339e-09,1.43787e-10,8.585843e-11,1.890712e-11,2.9901343e-10,2.5462585e-10
320000,2957.0,30.0,48.0,131.0,50.0,1.0,67.0,7.0,99.0,45.0,5.470503e-09,2.5779576e-11,6.828925e-12,1.1228958e-12,2.6102183e-11,4.075009e-11,1.1703715e-09,1.3370997e-10,1.1957323e-10,2.5222198e-11,2.9068106e-10,2.576173e-10
330000,2957.0,26.0,35.0,130.0,52.0,1.0,62.0,12.0,93.0,46.0,5.576342e-09,2.4339104e-11,5.444724e-12,8.3770556e-13,2.3810662e-11,4.3149675e-11,1.1943615e-09,1.1966178e-10,9.836509e-11,2.0850006e-11,2.756696e-10,2.6526922e-10
340000,2957.0,25.0,27.0,129.0,45.0,1.0,57.0,8.0,90.0,47.0,5.694704e-09,2.3615223e-11,3.4748645e-12,4.204536e-13,1.9820987e-11,4.2920837e-11,1.2012125e-09,1.10920224e-10,5.183213e-11,1.1491347e-11,2.4884625e-10,2.613628e-10
350000,2957.0,21.0,22.0,128.0,42.0,1.0,49.0,8.0,102.0,48.0,5.81276e-09,2.4269364e-11,5.5129633e-12,8.342264e-13,2.1869404e-11,4.3502542e-11,1.2129047e-09,1.1623306e-10,9.836426e-11,2.0813634e-11,2.5892172e-10,2.631535e-10
360000,2957.0,19.0,19.0,128.0,36.0,1.0,36.0,11.0,105.0,48.0,5.924328e-09,2.4013198e-11,6.942586e-12,1.132055e-12,2.1889605e-11,4.5775207e-11,1.2254223e-09,1.0945964e-10,1.2000993e-10,2.5191236e-11,2.541813e-10,2.726127e-10
370000,2957.0,15.0,14.0,128.0,29.0,1.0,32.0,5.0,105.0,48.0,6.0272556e-09,2.4319689e-11,5.0925015e-12,7.907513e-13,2.2057247e-11,4.7088246e-11,1.2509646e-09,1.1015343e-10,8.586823e-11,1.8860814e-11,2.5653762e-10,2.7140823e-10
380000,2957.0,13.0,12.0,127.0,20.0,1.0,26.0,6.0,112.0,49.0,6.1485403e-09,2.4321727e-11,3.684465e-12,4.2362516e-13,2.141597e-11,4.6632323e-11,1.2496219e-09,1.11677834e-10,5.155902e-11,1.1285087e-11,2.52542e-10,2.6539496e-10
390000,2957.0,10.0,9.0,126.0,15.0,0.0,21.0,4.0,107.0,50.0,6.2598886e-09,2.3505085e-11,5.9319017e-12,8.8988213e-13,2.1902157e-11,4.5796516e-11,1.261717e-09,1.02249306e-10,9.906633e-11,2.080361e-11,2.4946603e-10,2.5587021e-10
400000,2957.0,17.0,85.0,135.0,16.0,0.0,41.0,3.0,99.0,54.0,6.3538512e-09,2.238366e-11,5.3281333e-12,8.014505e-13,1.785536e-11,5.1093563e-11,1.290731e-09,8.5755035e-11,8.6006015e-11,1.9102964e-11,2.1426151e-10,2.808321e-10
410000,2957.0,15.0,60.0,134.0,17.0,0.0,56.0,2.0,93.0,55.0,6.4490804e-09,2.4570764e-11,4.9882112e-12,7.11439e-13,2.1429589e-11,5.691511e-11,1.3226811e-09,1.05262014e-10,7.7062454e-11,1.7590906e-11,2.4584848e-10,3.0452238e-10
420000,2957.0,14.0,39.0,133.0,18.0,0.0,63.0,3.0,105.0,56.0,6.5669723e-09,2.4660716e-11,4.2467796e-12,5.6827356e-13,2.2553388e-11,5.4720513e-11,1.3221203e-09,1.09553956e-10,5.142007e-11,1.3921969e-11,2.5297497e-10,2.9351882e-10
430000,2957.0,9.0,26.0,133.0,19.0,0.0,59.0,8.0,102.0,56.0,6.669897e-09,2.7123002e-11,4.747807e-12,6.910164e-13,2.546323e-11,5.8190813e-11,1.3404384e-09,1.300555e-10,6.553301e-11,1.6724655e-11,2.7678207e-10,3.1159153e-10
440000,2957.0,7.0,18.0,133.0,20.0,0.0,51.0,5.0,104.0,56.0,6.771391e-09,2.7560008e-11,4.6445803e-12,6.8395994e-13,2.7526802e-11,5.877482e-11,1.3602e-09,1.3073058e-10,6.205897e-11,1.6332342e-11,2.8747213e-10,3.1990918e-10
450000,2957.0,5.0,14.0,133.0,19.0,0.0,44.0,4.0,116.0,56.0,6.8749455e-09,2.7181224e-11,3.9824997e-12,5.56896e-13,2.6126424e-11,5.681892e-11,1.3792824e-09,1.2787509e-10,3.4537213e-11,1.2465422e-11,2.7835967e-10,3.0903147e-10
460000,2957.0,5.0,13.0,131.0,17.0,0.0,34.0,9.0,110.0,58.0,6.9851036e-09,2.698328e-11,4.571663e-12,6.819296e-13,2.7128105e-11,5.6340356e-11,1.384941e-09,1.2661766e-10,5.7450492e-11,1.5649057e-11,2.9442246e-10,3.1098352e-10
470000,2957.0,4.0,8.0,129.0,15.0,0.0,28.0,3.0,112.0,60.0,7.1012654e-09,2.5964028e-11,5.365786e-12,8.494909e-13,2.5177775e-11,5.469147e-11,1.3806728e-09,1.1460204e-10,7.4264574e-11,1.8389101e-11,2.66667e-10,3.0202835e-10
480000,2957.0,3.0,8.0,127.0,14.0,0.0,25.0,2.0,116.0,62.0,7.2023534e-09,2.4649694e-11,3.860796e-12,5.381026e-13,2.2786316e-11,5.407153e-11,1.4032455e-09,9.99211e-11,2.6150875e-11,1.119472e-11,2.467256e-10,3.0159972e-10
490000,2957.0,3.0,6.0,127.0,13.0,0.0,23.0,2.0,107.0,62.0,7.308286e-09,2.4159005e-11,4.5327574e-12,7.057766e-13,2.141226e-11,5.593768e-11,1.411535e-09,9.477179e-11,5.409754e-11,1.4949585e-11,2.3287125e-10,3.1164166e-10
